"","name","genus","species","floron","radar"
"1902","Bulboschoenus maritimus","Bulboschoenus","maritimus",FALSE,TRUE
"1903","Scirpus s.l.","Scirpus","s.l.",FALSE,TRUE
"1904","Scleranthus annuus","Scleranthus","annuus",FALSE,TRUE
"1905","Secale cereale","Secale","cereale",FALSE,TRUE
"1906","Sedum spurium","Sedum","spurium",FALSE,TRUE
"1907","Selaginella selaginoides","Selaginella","selaginoides",FALSE,TRUE
"1908","Setaria italica","Setaria","italica",FALSE,TRUE
"1909","Silene armeria","Silene","armeria",FALSE,TRUE
"1910","Silybum marianum","Silybum","marianum",FALSE,TRUE
"1911","Sinapsis arvensis","Sinapsis","arvensis",FALSE,TRUE
"1912","Solanum lycopersicum","Solanum","lycopersicum",FALSE,TRUE
"1913","Solanum melongena","Solanum","melongena",FALSE,TRUE
"1914","Solanum nigrum subsp. nigrum","Solanum","nigrum subsp. nigrum",FALSE,TRUE
"1915","Solanum tuberosum","Solanum","tuberosum",FALSE,TRUE
"1916","Sonchus arvensis var. maritimus","Sonchus","arvensis var. maritimus",FALSE,TRUE
"1917","Sorbus aria","Sorbus","aria",FALSE,TRUE
"1918","Sparganium erectum subsp. erectum","Sparganium","erectum subsp. erectum",FALSE,TRUE
"1919","Spergula arvensis 'Sativa'","Spergula","arvensis 'Sativa'",FALSE,TRUE
"1920","Spergula arvensis var. arvensis","Spergula","arvensis var. arvensis",FALSE,TRUE
"1921","Spergula arvensis var. linicola","Spergula","arvensis var. linicola",FALSE,TRUE
"1922","Spergula maxima","Spergula","maxima",FALSE,TRUE
"1923","Sphagnum imbricatum","Sphagnum","imbricatum",FALSE,TRUE
"1924","Spinacia oleracea","Spinacia","oleracea",FALSE,TRUE
"1925","Stachys annua","Stachys","annua",FALSE,TRUE
"1926","Stellaria uliginosa","Stellaria","uliginosa",FALSE,TRUE
"1927","Stellaria pallida","Stellaria","pallida",FALSE,TRUE
"1928","Stipa pennata","Stipa","pennata",FALSE,TRUE
"1929","Subularia aquatica","Subularia","aquatica",FALSE,TRUE
"1930","Syzygium aromaticum","Syzygium","aromaticum",FALSE,TRUE
"1931","Taraxacum officinale s.l.","Taraxacum","officinale s.l.",FALSE,TRUE
"1932","Theobroma cacao","Theobroma","cacao",FALSE,TRUE
"1933","Thymus vulgaris","Thymus","vulgaris",FALSE,TRUE
"1934","Tilia × europaea","Tilia","× europaea",FALSE,TRUE
"1935","Tolypella glomerata","Tolypella","glomerata",FALSE,TRUE
"1936","Tragopogon pratensis","Tragopogon","pratensis",FALSE,TRUE
"1937","Trapa natans","Trapa","natans",FALSE,TRUE
"1938","Trichophorum cespitosum","Trichophorum","cespitosum",FALSE,TRUE
"1939","Trigonella foenum-graecum","Trigonella","foenum-graecum",FALSE,TRUE
"1940","Tripleurospermum inodorum","Tripleurospermum","inodorum",FALSE,TRUE
"1941","Triticum aestivum (spelta)","Triticum","aestivum (spelta)",FALSE,TRUE
"1942","Triticum aestivum subsp. compactum","Triticum","aestivum subsp. compactum",FALSE,TRUE
"1943","Triticum durum","Triticum","durum",FALSE,TRUE
"1944","Triticum spelta","Triticum","spelta",FALSE,TRUE
"1945","Triticum monococcum","Triticum","monococcum",FALSE,TRUE
"1946","Urtica pilulifera","Urtica","pilulifera",FALSE,TRUE
"1947","Vacciniuim vitis-idaea","Vacciniuim","vitis-idaea",FALSE,TRUE
"1948","Veronica austriaca","Veronica","austriaca",FALSE,TRUE
"1949","Veronica hederifolia subsp. hederifolia","Veronica","hederifolia subsp. hederifolia",FALSE,TRUE
"1950","Vicia sativa subsp. nigra","Vicia","sativa subsp. nigra",FALSE,TRUE
"1951","Vicia ervilia","Vicia","ervilia",FALSE,TRUE
"1952","Vicia faba var. major","Vicia","faba var. major",FALSE,TRUE
"1953","Vicia tetrasperma","Vicia","tetrasperma",FALSE,TRUE
"1954","Vicia sativa subsp. obovata","Vicia","sativa subsp. obovata",FALSE,TRUE
"1955","Vicia sativa subsp. sativa","Vicia","sativa subsp. sativa",FALSE,TRUE
"1956","Viola tricolor","Viola","tricolor",FALSE,TRUE
"1957","Vitis sylvestris","Vitis","sylvestris",FALSE,TRUE
"1958","Vitis vinifera","Vitis","vinifera",FALSE,TRUE
"1959","Xanthium spinosum","Xanthium","spinosum",FALSE,TRUE
"1960","Zannichellia palustris","Zannichellia","palustris",FALSE,TRUE
